"","Var1","Var2","bicor","pval","obs","sig"
"286","SR","ME12",-0.125332765018848,0.412021915745034,45,""
"287","CD14_per_adipocyte","ME12",0.0481878423214224,0.75608912154673,44,""
"288","CD206_per_adipocyte","ME12",0.083386023925479,0.590483436574904,44,""
"289","Age","ME14",0.0279904189615974,0.855176743044904,45,""
"290","Sex","ME14",-0.960473372959104,1.65302254178259e-25,45,"***"
"291","Bodyweight","ME14",0.662619106874897,7.10333498663448e-07,45,"***"
"292","Lean_mass","ME14",0.808376068697539,1.88132377916399e-11,45,"***"
"293","Fat_mass","ME14",-0.32775360436241,0.0279580781447062,45,"*"
"294","BodyFat","ME14",-0.555841735810039,7.37171386105677e-05,45,"***"
"295","BMI","ME14",0.217923048743821,0.150410221751696,45,""
"296","Waist_circumference","ME14",0.622527892198596,4.97200668639769e-06,45,"***"
"297","SBP","ME14",0.195859190499648,0.197251612930935,45,""
"298","DBP","ME14",0.224013678128363,0.13905591609213,45,""
"299","Resting_HR","ME14",-0.151023046109439,0.322037481496505,45,""
"300","Max_HR","ME14",0.227189037303156,0.133395032282225,45,""
"301","VO2peak","ME14",0.63353444756163,2.99556789471092e-06,45,"***"
"302","VO2peak_kg_min","ME14",0.162151478289984,0.287238850283574,45,""
"303","VO2peak_kgLM_min","ME14",-0.211884245912246,0.162326864110763,45,""
"304","RMR","ME14",0.516930758206265,0.000327256580887716,44,"***"
"305","Fat_OX","ME14",0.313656654881983,0.0381435378610785,44,"*"
"306","CHO_OX","ME14",0.0694232238221288,0.654308053348064,44,""
"307","HOMA_IR","ME14",-0.0525844366705667,0.731554638711557,45,""
"308","Adipo_IR","ME14",-0.406850133044724,0.00554513845988811,45,"**"
"309","Glucose","ME14",0.152542989659841,0.317134408419186,45,""
"310","Insulin","ME14",-0.105270445283111,0.491314429832027,45,""
"311","NEFA","ME14",-0.508351387392866,0.00036351426978924,45,"***"
"312","Glycerol","ME14",-0.4758983778446,0.00095253960266544,45,"***"
"313","Triglyceride","ME14",-0.0652210452329555,0.674031711908035,44,""
"314","Lactate","ME14",0.0184723261271378,0.904135165866693,45,""
"315","Cortisol","ME14",-0.0804232298374578,0.603794480453435,44,""
"316","IFNg","ME14",-0.214129615611013,0.157818264739677,45,""
"317","IL10","ME14",0.0228268068667863,0.884479216591861,43,""
"318","IL1b","ME14",-0.303960324717337,0.0423606450521956,45,"*"
"319","IL6","ME14",0.0521405045501484,0.75923831834771,37,""
"320","TNFa","ME14",0.000948409795325093,0.995066638841043,45,""
"321","FCS_mean","ME14",0.244395104783733,0.105671432210742,45,""
"322","SR","ME14",-0.148925996081256,0.32888008403427,45,""
"323","CD14_per_adipocyte","ME14",-0.183198712863213,0.233918639504373,44,""
"324","CD206_per_adipocyte","ME14",0.0366312608568817,0.813379645771972,44,""
"325","Age","ME8",-0.035682973748105,0.815989070956726,45,""
"326","Sex","ME8",-0.381970105684924,0.00961912283827287,45,"**"
"327","Bodyweight","ME8",0.47790396409222,0.000899925444971203,45,"***"
"328","Lean_mass","ME8",0.265387284775706,0.0780826650356046,45,""
